caseKey,caseName,caseDescription,scenarioKey,scenario,scenarioKind,reviewMechanism,totalCases,reviewedCases,invalidations,emergencyOrders,emergencyReliefs,meritsReviews,meritsInvalidations,overrides,intakeFilings,screenedFilings,directionalScore,reviewRate,intakeAcceptanceRate,emergencyReliefRate,meritsReviewRate,meritsInvalidationRate,emergencyReasonGivingRate,emergencyVoteDisclosureRate,emergencyPublicDisagreementRate,governmentEmergencyApplicantShare,governmentEmergencyWinRate,meritsFollowUpRate,legalStability,rightsProtection,partisanAlignment,shadowDocketAbuse,legitimacy,reversalRate,constitutionalConflict,democraticResponsiveness,legislativeResponseCredibility,caseSelectionAccess,governmentRepeatPlayerAdvantage,implementationCapacity,democraticConstitutionalism,vetoRelocationRisk,legalTransplantFeasibility,politicalCultureSensitivity,independenceAccountabilityBalance,concurrenceFragmentation,dissentIntensity,recusalRate,enBancRate,crossCheckRate,councilScreenRate,overrideRate,weakFormDeclarationRate,suspendedDeclarationRate,legislativeResponseRate,invalidationLegislativeResponseRate,averageLegislativeResponseDelay,timelyLegislativeResponseRate,rightsImpactStatementRate,ombudsmanTriggerRate,publicDefenderParticipationRate,preEnactmentReviewRate,abstractReviewRate,preliminaryReferenceRate,appealRouteRate,directActionRate,lowerCourtConflict,averageTimeToReview,replacementRate,stateCaseShare,mixedJurisdictionShare,averageLowerCourtDepth,stateFederalTension,intercourtConflict,complianceRate,defianceRate,workaroundRate,repeatedLitigationRate,executiveImplementationRate,agencyNonacquiescenceRate,legislativeReenactmentRate,invalidationLegislativeReenactmentRate,localGovernmentComplianceRate,publicTrust,legislativeConflict,courtCurbingPressure,amendmentPressure,administrativeLoad,directCourtCost,upstreamScreeningCost,capacityStrainCost,institutionalBudgetCost,institutionalDelayCost,implementationComplexity,totalInstitutionalCost,statuteDispositions,statuteNullifications,statuteNullificationRate
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,abstract-review-tribunal,Abstract review tribunal,synthetic_mechanism,abstract_review,9600,9600,1265,1,0,9600,1265,0,9601,1,0.710,1.000,1.000,0.000,1.000,0.132,1.000,1.000,0.000,1.000,0.000,1.000,0.968,0.799,0.124,0.000,0.786,0.132,0.200,0.593,0.564,0.457,0.352,0.629,0.716,0.315,0.564,0.959,0.792,0.120,0.224,0.064,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.000,0.000,1.000,0.731,0.000,0.000,0.000,0.416,0.617,0.338,0.317,0.323,2.425,0.548,0.480,0.791,0.046,0.056,0.069,0.779,0.023,0.023,0.048,0.609,0.237,0.174,0.055,0.046,0.513,0.408,0.396,0.291,0.416,0.432,0.488,0.400,6209,682,0.110
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,ombudsman-triggered-review,Ombudsman-triggered constitutional review,synthetic_mechanism,ombudsman_triggered_review,9600,9600,1129,5,0,9595,1129,0,1240320,1230720,0.690,1.000,0.008,0.000,0.999,0.118,0.800,0.800,0.200,1.000,0.000,0.000,0.967,0.796,0.117,0.000,0.795,0.118,0.197,0.598,0.563,0.338,0.352,0.616,0.704,0.533,0.602,0.829,0.884,0.123,0.177,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.357,0.317,0.323,2.425,0.548,0.480,0.806,0.041,0.049,0.063,0.791,0.023,0.018,0.042,0.615,0.281,0.154,0.044,0.038,0.433,0.327,0.837,0.447,0.433,0.468,0.466,0.502,6206,581,0.094
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,constitutional-public-defender,Constitutional public defender access model,synthetic_mechanism,constitutional_public_defender,9600,9600,1363,2,0,9600,1363,0,1358178,1348578,0.687,1.000,0.007,0.000,1.000,0.142,1.000,0.500,0.000,1.000,0.000,1.000,0.960,0.796,0.126,0.000,0.780,0.142,0.203,0.590,0.563,0.338,0.352,0.613,0.701,0.520,0.630,0.802,0.865,0.136,0.204,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.352,0.317,0.323,2.425,0.548,0.480,0.779,0.053,0.066,0.074,0.763,0.031,0.029,0.063,0.584,0.222,0.203,0.085,0.077,0.434,0.327,0.817,0.449,0.429,0.466,0.498,0.503,6209,725,0.117
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,rights-impact-statement-review,Rights-impact statements before review,synthetic_mechanism,rights_impact_statement,9600,9600,458,9,0,9591,458,0,9608,8,0.731,1.000,0.999,0.000,0.999,0.048,0.667,0.556,0.111,1.000,0.000,0.000,0.992,0.861,0.095,0.000,0.874,0.048,0.183,0.616,0.565,0.457,0.352,0.625,0.747,0.505,0.698,0.764,0.933,0.090,0.097,0.063,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.731,0.000,0.000,0.000,0.416,0.617,0.556,0.317,0.323,2.425,0.548,0.480,0.834,0.024,0.038,0.055,0.825,0.018,0.011,0.028,0.645,0.616,0.102,0.020,0.017,0.686,0.413,0.391,0.340,0.416,0.469,0.517,0.422,6203,243,0.039
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,mandatory-legislative-response,Mandatory legislative response cycles,synthetic_mechanism,mandatory_legislative_response,9600,9600,867,4,0,9600,867,286,9604,4,0.706,1.000,1.000,0.000,1.000,0.090,0.750,1.000,0.000,1.000,0.000,1.000,0.976,0.790,0.102,0.000,0.818,0.090,0.193,0.612,0.567,0.457,0.352,0.632,0.728,0.276,0.614,0.974,0.928,0.105,0.109,0.038,0.000,0.000,0.000,0.330,0.000,0.000,0.090,1.000,0.450,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.371,0.317,0.323,2.425,0.548,0.480,0.803,0.039,0.046,0.068,0.786,0.021,0.017,0.038,0.616,0.320,0.133,0.031,0.037,0.433,0.310,0.439,0.280,0.328,0.412,0.491,0.379,6209,454,0.073
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,9600,9600,2369,2320,1153,7280,2369,0,429115,419515,0.554,1.000,0.022,0.497,0.758,0.325,0.022,0.343,0.437,0.788,0.564,0.000,0.873,0.739,0.182,0.156,0.636,0.247,0.292,0.517,0.542,0.354,0.353,0.619,0.615,0.539,0.642,0.775,0.683,0.219,0.308,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.109,0.319,0.376,2.483,0.579,0.515,0.440,0.249,0.147,0.217,0.432,0.154,0.069,0.100,0.253,0.049,0.921,0.858,0.665,0.447,0.304,0.673,0.402,0.373,0.440,0.420,0.442,4650,1322,0.284
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,9600,9600,2010,2270,943,7330,2010,0,429455,419855,0.569,1.000,0.022,0.415,0.764,0.274,0.031,0.357,0.404,0.790,0.489,0.000,0.887,0.750,0.164,0.148,0.650,0.209,0.279,0.538,0.541,0.354,0.353,0.619,0.626,0.529,0.643,0.774,0.778,0.196,0.266,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.272,0.319,0.376,2.483,0.579,0.515,0.457,0.234,0.152,0.211,0.461,0.138,0.073,0.101,0.283,0.052,0.887,0.831,0.620,0.454,0.308,0.673,0.416,0.378,0.442,0.422,0.446,4710,1114,0.237
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",fifteen-justice-commission,Fifteen-justice supermajority commission court,court_variant,strong_form_court,9600,9600,2254,273,28,9332,2254,0,440790,431190,0.640,1.000,0.022,0.103,0.972,0.242,0.623,0.564,0.165,0.916,0.112,0.018,0.933,0.773,0.141,0.009,0.733,0.235,0.233,0.571,0.560,0.353,0.353,0.620,0.672,0.443,0.643,0.769,0.847,0.151,0.224,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.340,0.319,0.376,2.483,0.579,0.515,0.585,0.139,0.125,0.153,0.572,0.095,0.062,0.099,0.386,0.093,0.562,0.569,0.310,0.446,0.361,0.675,0.409,0.432,0.447,0.441,0.462,5970,1250,0.209
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",supermajority-invalidation,Supermajority required to invalidate laws,court_variant,strong_form_court,9600,9600,2283,302,43,9302,2283,0,440622,431022,0.626,1.000,0.022,0.142,0.969,0.245,0.629,0.464,0.185,0.940,0.151,0.013,0.936,0.771,0.158,0.011,0.707,0.238,0.235,0.568,0.553,0.353,0.353,0.619,0.665,0.453,0.642,0.773,0.715,0.188,0.273,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.113,0.319,0.376,2.483,0.579,0.515,0.542,0.160,0.145,0.159,0.541,0.108,0.070,0.103,0.356,0.081,0.652,0.667,0.374,0.426,0.302,0.675,0.387,0.373,0.444,0.478,0.449,5956,1244,0.209
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",strict-recusal-court,Strict recusal with substitute justices,court_variant,strong_form_court,9600,9600,2118,285,45,9320,2118,0,440755,431155,0.648,1.000,0.022,0.158,0.971,0.227,0.709,0.649,0.221,0.961,0.164,0.018,0.935,0.773,0.140,0.010,0.753,0.221,0.230,0.573,0.567,0.353,0.353,0.617,0.679,0.441,0.643,0.772,0.866,0.152,0.217,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.344,0.319,0.376,2.483,0.579,0.515,0.611,0.122,0.122,0.137,0.600,0.081,0.054,0.094,0.414,0.103,0.476,0.448,0.258,0.446,0.360,0.675,0.409,0.431,0.447,0.475,0.468,5974,1165,0.195
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",reasoned-emergency-review,Reasoned emergency orders with merits follow-up,court_variant,strong_form_court,9600,9600,2856,145,1,9600,2856,0,441475,431875,0.645,1.000,0.022,0.007,1.000,0.298,0.848,0.690,0.041,0.986,0.007,1.000,0.923,0.766,0.156,0.000,0.750,0.298,0.245,0.552,0.577,0.353,0.353,0.618,0.665,0.453,0.642,0.774,0.766,0.162,0.268,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.272,0.319,0.376,2.483,0.579,0.515,0.544,0.174,0.135,0.164,0.541,0.111,0.068,0.107,0.353,0.082,0.698,0.708,0.384,0.436,0.307,0.675,0.401,0.378,0.446,0.473,0.453,6144,1590,0.259
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",panel-en-banc-review,Panel review with en banc safety valve,court_variant,strong_form_court,9600,9600,2384,283,37,9321,2384,0,440735,431135,0.637,1.000,0.022,0.131,0.971,0.256,0.686,0.587,0.205,0.943,0.139,0.014,0.930,0.771,0.143,0.010,0.745,0.248,0.236,0.566,0.566,0.353,0.353,0.615,0.673,0.440,0.642,0.771,0.877,0.140,0.181,0.039,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.344,0.319,0.376,2.483,0.579,0.515,0.593,0.140,0.121,0.149,0.570,0.089,0.063,0.102,0.386,0.096,0.565,0.559,0.295,0.556,0.414,0.675,0.429,0.483,0.491,0.456,0.490,5964,1324,0.222
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,court_variant,strong_form_court,9600,9600,1941,97,0,9600,1941,0,441773,432173,0.646,1.000,0.022,0.000,1.000,0.202,0.825,0.670,0.021,1.000,0.000,1.000,0.944,0.775,0.130,0.000,0.765,0.202,0.238,0.580,0.571,0.353,0.353,0.589,0.672,0.603,0.639,0.787,0.838,0.122,0.216,0.066,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.342,0.319,0.376,2.483,0.579,0.515,0.640,0.113,0.113,0.129,0.628,0.067,0.055,0.091,0.436,0.107,0.441,0.364,0.221,0.835,0.516,0.675,0.558,0.578,0.572,0.610,0.582,6144,1077,0.175
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",constitutional-council,Pre-enactment constitutional council,court_variant,strong_form_court,9600,9600,1650,291,34,9312,1650,0,440691,431091,0.659,1.000,0.022,0.117,0.970,0.177,0.708,0.711,0.124,0.938,0.125,0.010,0.972,0.774,0.122,0.010,0.783,0.172,0.220,0.586,0.571,0.353,0.353,0.604,0.682,0.669,0.641,0.778,0.940,0.102,0.181,0.065,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.538,0.319,0.376,2.483,0.579,0.515,0.721,0.074,0.086,0.096,0.713,0.041,0.039,0.082,0.518,0.160,0.274,0.155,0.113,0.699,0.440,0.675,0.470,0.505,0.514,0.551,0.525,5952,898,0.151
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",legislative-override-court,Judicial review with delayed legislative override,court_variant,strong_form_court,9600,9600,2333,291,33,9312,2333,637,440679,431079,0.615,1.000,0.022,0.113,0.970,0.251,0.643,0.478,0.168,0.918,0.124,0.010,0.921,0.762,0.149,0.010,0.724,0.243,0.253,0.582,0.566,0.353,0.353,0.614,0.664,0.433,0.642,0.778,0.844,0.172,0.230,0.039,0.000,0.000,0.000,0.273,0.000,0.000,0.066,0.272,0.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.288,0.319,0.376,2.483,0.579,0.515,0.533,0.178,0.136,0.169,0.524,0.115,0.067,0.103,0.343,0.075,0.698,0.680,0.430,0.439,0.308,0.675,0.403,0.379,0.448,0.503,0.459,5957,1291,0.217
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",accountability-retention-court,Retention-election accountability court,court_variant,strong_form_court,9600,9600,1356,279,24,9324,1356,690,440738,431138,0.643,1.000,0.022,0.086,0.971,0.145,0.649,0.591,0.168,0.935,0.092,0.011,0.939,0.751,0.132,0.009,0.749,0.141,0.232,0.601,0.563,0.353,0.353,0.612,0.683,0.408,0.642,0.778,0.870,0.196,0.128,0.039,0.000,0.000,0.000,0.509,0.000,0.000,0.072,0.509,0.584,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.697,0.319,0.376,2.483,0.579,0.515,0.647,0.102,0.107,0.131,0.624,0.058,0.045,0.079,0.444,0.102,0.364,0.246,0.217,0.459,0.320,0.675,0.440,0.390,0.452,0.529,0.474,5966,757,0.127
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",independence-accountability-hybrid,Hybrid court balancing independence and accountability,court_variant,strong_form_court,9600,9600,2280,143,3,9600,2280,0,441508,431908,0.660,1.000,0.022,0.021,1.000,0.238,0.846,0.692,0.028,0.979,0.021,1.000,0.943,0.773,0.135,0.000,0.767,0.238,0.231,0.570,0.573,0.353,0.353,0.599,0.682,0.440,0.640,0.786,0.882,0.109,0.204,0.048,0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.348,0.319,0.376,2.483,0.579,0.515,0.631,0.111,0.119,0.135,0.624,0.077,0.059,0.101,0.430,0.114,0.464,0.428,0.215,0.541,0.436,0.675,0.426,0.506,0.486,0.610,0.520,6144,1277,0.208
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",weak-form-review,Weak-form review with legislative reply,synthetic_mechanism,weak_form_review,9600,9600,0,290,37,9315,0,0,9741,141,0.700,1.000,0.986,0.128,0.970,0.000,0.676,0.621,0.176,0.921,0.139,0.017,0.985,0.759,0.110,0.010,0.798,0.000,0.187,0.621,0.593,0.470,0.353,0.645,0.735,0.199,0.677,0.810,0.916,0.089,0.180,0.038,0.000,0.000,0.000,0.000,0.231,0.000,0.232,0.000,0.443,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.301,0.319,0.376,2.483,0.579,0.515,0.771,0.046,0.050,0.081,0.752,0.027,0.013,0.000,0.578,0.383,0.147,0.043,0.048,0.439,0.308,0.374,0.277,0.313,0.408,0.391,0.347,5971,0,0.000
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",suspended-declaration-review,Suspended declarations of invalidity,synthetic_mechanism,suspended_declaration,9600,9600,2647,147,3,9600,2647,0,9720,120,0.688,1.000,0.988,0.020,1.000,0.276,0.891,0.667,0.034,0.993,0.021,1.000,0.950,0.753,0.136,0.000,0.764,0.276,0.245,0.623,0.599,0.470,0.353,0.632,0.696,0.236,0.622,0.890,0.885,0.123,0.212,0.038,0.000,0.000,0.000,0.000,0.000,0.276,0.276,1.000,0.343,0.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.350,0.319,0.376,2.483,0.579,0.515,0.578,0.148,0.131,0.148,0.570,0.098,0.067,0.103,0.381,0.091,0.621,0.622,0.311,0.442,0.327,0.427,0.281,0.343,0.416,0.435,0.372,6144,1457,0.237
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",override-clause-review,Strong-form review with explicit override clause,synthetic_mechanism,legislative_override_clause,9600,9600,2199,287,42,9320,2199,0,91177,81577,0.632,1.000,0.105,0.146,0.971,0.236,0.655,0.557,0.164,0.944,0.155,0.024,0.938,0.772,0.140,0.010,0.756,0.229,0.214,0.571,0.563,0.364,0.353,0.626,0.681,0.376,0.630,0.915,0.866,0.152,0.213,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.177,0.774,0.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.295,0.319,0.376,2.483,0.579,0.515,0.612,0.112,0.127,0.141,0.610,0.075,0.061,0.110,0.414,0.109,0.437,0.423,0.232,0.439,0.308,0.565,0.343,0.355,0.433,0.471,0.417,5969,1229,0.206
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",pre-enactment-review,Pre-enactment review before laws take effect,synthetic_mechanism,pre_enactment_review,9600,9600,1510,282,34,9321,1510,0,9845,245,0.674,1.000,0.975,0.121,0.971,0.162,0.734,0.684,0.142,0.957,0.126,0.011,0.974,0.787,0.117,0.009,0.785,0.157,0.217,0.588,0.569,0.469,0.353,0.623,0.696,0.510,0.579,0.884,0.943,0.094,0.194,0.066,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.184,0.000,0.000,1.000,0.826,0.000,0.000,0.000,0.472,0.605,0.541,0.319,0.376,2.483,0.579,0.515,0.731,0.064,0.085,0.100,0.723,0.038,0.035,0.068,0.521,0.182,0.250,0.129,0.097,0.699,0.440,0.377,0.343,0.440,0.468,0.501,0.423,5975,835,0.140
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",abstract-review-tribunal,Abstract review tribunal,synthetic_mechanism,abstract_review,9600,9600,2630,121,1,9600,2630,0,9720,120,0.658,1.000,0.988,0.008,1.000,0.274,0.860,0.653,0.025,0.992,0.008,1.000,0.935,0.783,0.147,0.000,0.754,0.274,0.239,0.560,0.573,0.470,0.353,0.623,0.678,0.313,0.564,0.958,0.819,0.121,0.250,0.067,0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.184,0.000,0.000,1.000,0.826,0.000,0.000,0.000,0.472,0.605,0.338,0.319,0.376,2.483,0.579,0.515,0.580,0.147,0.126,0.150,0.575,0.094,0.062,0.105,0.389,0.094,0.601,0.602,0.309,0.545,0.413,0.411,0.298,0.424,0.442,0.497,0.409,6144,1469,0.239
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",ombudsman-triggered-review,Ombudsman-triggered constitutional review,synthetic_mechanism,ombudsman_triggered_review,9600,9600,2480,289,37,9314,2480,0,1162386,1152786,0.636,1.000,0.008,0.128,0.970,0.266,0.668,0.616,0.156,0.941,0.136,0.010,0.928,0.771,0.139,0.010,0.754,0.258,0.239,0.564,0.572,0.352,0.353,0.611,0.662,0.530,0.602,0.827,0.902,0.123,0.222,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.357,0.319,0.376,2.483,0.579,0.515,0.582,0.149,0.125,0.149,0.577,0.093,0.059,0.100,0.382,0.097,0.581,0.584,0.313,0.443,0.328,0.849,0.448,0.437,0.468,0.471,0.506,5957,1378,0.231
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",constitutional-public-defender,Constitutional public defender access model,synthetic_mechanism,constitutional_public_defender,9600,9600,2846,140,1,9600,2846,0,1276903,1267303,0.643,1.000,0.008,0.007,1.000,0.296,0.850,0.657,0.029,0.986,0.007,1.000,0.922,0.778,0.149,0.000,0.748,0.296,0.244,0.554,0.573,0.352,0.353,0.608,0.660,0.518,0.630,0.800,0.887,0.136,0.241,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.098,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.352,0.319,0.376,2.483,0.579,0.515,0.538,0.172,0.141,0.165,0.538,0.112,0.071,0.103,0.349,0.083,0.701,0.699,0.379,0.442,0.328,0.829,0.449,0.433,0.467,0.503,0.507,6144,1579,0.257
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",rights-impact-statement-review,Rights-impact statements before review,synthetic_mechanism,rights_impact_statement,9600,9600,1325,285,36,9318,1325,0,9829,229,0.709,1.000,0.977,0.126,0.971,0.142,0.702,0.709,0.151,0.940,0.134,0.011,0.976,0.838,0.111,0.010,0.812,0.138,0.213,0.591,0.570,0.469,0.353,0.621,0.721,0.502,0.698,0.761,0.905,0.089,0.143,0.065,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.826,0.000,0.000,0.000,0.472,0.605,0.556,0.319,0.376,2.483,0.579,0.515,0.747,0.059,0.073,0.094,0.731,0.032,0.032,0.060,0.547,0.232,0.210,0.087,0.073,0.696,0.414,0.402,0.344,0.419,0.470,0.521,0.426,5951,730,0.123
legislative-high-volatility,High-volatility legislative outputs,"Imported rows with high policy-shift, reversal, or status-quo volatility signals.",mandatory-legislative-response,Mandatory legislative response cycles,synthetic_mechanism,mandatory_legislative_response,9600,9600,2087,149,0,9600,2087,608,9734,134,0.670,1.000,0.986,0.000,1.000,0.217,0.893,0.745,0.007,0.987,0.000,1.000,0.944,0.752,0.119,0.000,0.781,0.217,0.227,0.588,0.578,0.470,0.353,0.627,0.692,0.252,0.614,0.971,0.930,0.104,0.161,0.039,0.000,0.000,0.000,0.291,0.000,0.000,0.218,1.000,0.461,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.605,0.371,0.319,0.376,2.483,0.579,0.515,0.615,0.126,0.116,0.136,0.606,0.077,0.054,0.085,0.428,0.106,0.424,0.368,0.252,0.442,0.310,0.450,0.282,0.331,0.416,0.498,0.384,6144,1160,0.189
legislative-low-mandate,Low-mandate legislative outputs,"Imported rows with weak public mandate, low support, or public-preference distortion.",current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,9600,9600,2745,75,40,9525,2745,0,451500,441900,0.568,1.000,0.021,0.533,0.992,0.288,0.040,0.307,0.613,1.000,0.533,0.000,0.921,0.759,0.159,0.006,0.677,0.286,0.241,0.546,0.549,0.344,0.348,0.625,0.643,0.539,0.643,0.763,0.678,0.209,0.300,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.434,0.620,0.109,0.320,0.338,2.442,0.569,0.494,0.504,0.206,0.138,0.171,0.496,0.124,0.070,0.095,0.323,0.080,0.828,0.795,0.534,0.419,0.301,0.669,0.385,0.371,0.445,0.414,0.437,6265,1514,0.242
legislative-low-mandate,Low-mandate legislative outputs,"Imported rows with weak public mandate, low support, or public-preference distortion.",eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,9600,9600,2262,80,25,9520,2262,0,451481,441881,0.590,1.000,0.021,0.313,0.992,0.238,0.050,0.388,0.538,0.938,0.320,0.000,0.933,0.763,0.143,0.006,0.689,0.236,0.230,0.561,0.546,0.344,0.348,0.625,0.653,0.529,0.643,0.762,0.773,0.187,0.263,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.434,0.620,0.272,0.320,0.338,2.442,0.569,0.494,0.521,0.179,0.141,0.161,0.524,0.106,0.069,0.103,0.339,0.090,0.744,0.741,0.451,0.428,0.306,0.669,0.400,0.376,0.447,0.417,0.442,6262,1227,0.196
legislative-low-mandate,Low-mandate legislative outputs,"Imported rows with weak public mandate, low support, or public-preference distortion.",fifteen-justice-commission,Fifteen-justice supermajority commission court,court_variant,strong_form_court,9600,9600,1837,10,0,9590,1837,0,451826,442226,0.656,1.000,0.021,0.000,0.999,0.192,0.700,0.500,0.100,1.000,0.000,0.000,0.947,0.767,0.123,0.000,0.741,0.191,0.218,0.575,0.560,0.344,0.348,0.622,0.680,0.442,0.643,0.762,0.842,0.143,0.230,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.434,0.620,0.340,0.320,0.338,2.442,0.569,0.494,0.623,0.117,0.118,0.128,0.609,0.075,0.055,0.087,0.440,0.123,0.486,0.466,0.243,0.439,0.360,0.669,0.407,0.431,0.448,0.439,0.461,6313,980,0.155
